#   epsilon1 = 6.2,    epsilon2 = 9.1  me=0.35
#
#  z (a.u.)            E (a.u.)             alfa1                  alfa2              alfac                cc
40.0          -2.1344152077727379E-004   0.00337461596637    0.01296541360621    0.00026240452795    51.21296265852202
50.0          -2.7538536255840458E-004   0.00337656082525    0.01306596965778    0.00026240452795    49.73175550113654
60.0          -3.1583255689370302E-004   0.00327461596637    0.01316423772598    0.00026240452795    48.78660668526934
70.0          -3.4354832789734838E-004   0.00327461596637    0.01316423772598    0.00026240452795    49.55584828139137
80.0          -3.6489512467619738E-004   0.00327461596637    0.01316423772598    0.00026240452795    49.99318259193637
90.0          -3.8315979688792489E-004   0.00187416218206    0.01556796441194    0.00051337687021    49.61332426424739
100.0         -3.9817162616128288E-004   0.00049035484204    0.01696596965778    0.00026240452795    59.88284195191473
150.0         -4.5168185017878929E-004   0.00327461596637    0.01510588345733    0.00026240452795    51.28134456021192
200.0         -4.8192820282348843E-004   0.00327461596637    0.01611787124902    0.00026240452795    51.64590964588894
250           -4.9505411080138346E-004   0.00327461596637    0.01510588345733    0.00026240452795    53.16641329279474
300.0         -5.0841562155785002E-004   0.00327461596637    0.01736940523362    0.00026240452795    53.49721022281317
 
# Limite asintotico -0.000528318
