#   epsilon1 = 6.2,    epsilon2 = 13.18
#
#  z (a.u.)            E (a.u.)             alfa1             alfa2               alfac
70            1.7907534289687472E-004    0.00456803833581    0.00856216234876     0.00174962398176
75            1.6490470025039205E-004    0.00456803833581    0.00359959006260     0.00184480359522
80.0          1.5054406872273943E-004    0.00452723959873    0.00353599281463     0.00172552588417 
100.0         9.5218763722207690E-005    0.00428135593540    0.00312762453324     0.00146975799862
150.0         1.1379300116626191E-006    0.00204360148129    0.00347879074327     0.00049905108738
200.0        -6.5851591671982774E-005    0.00162138154896    0.00316558069421     0.00023543148888
250.0        -1.0366218370750030E-004    0.00107947867292    0.00338865748833    -0.00001248256363
300.0        -1.2735237683435307E-004    0.00038029215555    0.00368723497030    -0.00017823052462
         


# asymptotic energy -0.000192847 a.u.
